frame,timestamp,j1,j2,j3,j4,j5,j6,gripper,action_j1,action_j2,action_j3,action_j4,action_j5,action_j6,action_gripper
87,2.900000,0.1208171471953392,1.5919568538665771,-0.6953178644180298,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.06870000064373016,0.1208171471953392,1.6026326417922974,-0.7014755606651306,0.06094933673739433,-0.6289085149765015,-0.41961541771888733,0.062199998646974564
88,2.933333,0.1208171471953392,1.6026326417922974,-0.7014755606651306,0.06094933673739433,-0.6289085149765015,-0.41961541771888733,0.062199998646974564,0.1208171471953392,1.6123663187026978,-0.7067087888717651,0.06094933673739433,-0.6289085149765015,-0.41961541771888733,0.05460000038146973
89,2.966667,0.1208171471953392,1.6123663187026978,-0.7067087888717651,0.06094933673739433,-0.6289085149765015,-0.41961541771888733,0.05460000038146973,0.1208171471953392,1.619221806526184,-0.7137386798858643,0.06094933673739433,-0.6313681602478027,-0.41961541771888733,0.04910000041127205
90,3.000000,0.1208171471953392,1.619221806526184,-0.7137386798858643,0.06094933673739433,-0.6313681602478027,-0.41961541771888733,0.04910000041127205,0.12256154417991638,1.6233909130096436,-0.7166518568992615,0.06094933673739433,-0.6341940760612488,-0.41961541771888733,0.04910000041127205
91,3.033333,0.12256154417991638,1.6233909130096436,-0.7166518568992615,0.06094933673739433,-0.6341940760612488,-0.41961541771888733,0.04910000041127205,0.12456760555505753,1.6238619089126587,-0.7182915806770325,0.06094933673739433,-0.6341940760612488,-0.41961541771888733,0.04910000041127205
92,3.066667,0.12456760555505753,1.6238619089126587,-0.7182915806770325,0.06094933673739433,-0.6341940760612488,-0.41961541771888733,0.04910000041127205,0.12620733678340912,1.6238619089126587,-0.7203848958015442,0.06094933673739433,-0.6341940760612488,-0.4216040372848511,0.04910000041127205
93,3.100000,0.12620733678340912,1.6238619089126587,-0.7203848958015442,0.06094933673739433,-0.6341940760612488,-0.4216040372848511,0.04910000041127205,0.13039390742778778,1.6256587505340576,-0.7203848958015442,0.06094933673739433,-0.6357291340827942,-0.4261394739151001,0.04910000041127205
94,3.133333,0.13039390742778778,1.6256587505340576,-0.7203848958015442,0.06094933673739433,-0.6357291340827942,-0.4261394739151001,0.04910000041127205,0.1341966986656189,1.6243155002593994,-0.7203848958015442,0.06271117925643921,-0.6381189823150635,-0.4286165237426758,0.04910000041127205
95,3.166667,0.1341966986656189,1.6243155002593994,-0.7203848958015442,0.06271117925643921,-0.6381189823150635,-0.4286165237426758,0.04910000041127205,0.14101730287075043,1.6243155002593994,-0.7203848958015442,0.06506612151861191,-0.6428637504577637,-0.43683263659477234,0.04910000041127205
96,3.200000,0.14101730287075043,1.6243155002593994,-0.7203848958015442,0.06506612151861191,-0.6428637504577637,-0.43683263659477234,0.04910000041127205,0.1474715769290924,1.6243155002593994,-0.7246412038803101,0.0784979984164238,-0.6428637504577637,-0.4488515555858612,0.04910000041127205
97,3.233333,0.1474715769290924,1.6243155002593994,-0.7246412038803101,0.0784979984164238,-0.6428637504577637,-0.4488515555858612,0.04910000041127205,0.15947304666042328,1.616605281829834,-0.7299790382385254,0.09608155488967896,-0.6428637504577637,-0.46336495876312256,0.04910000041127205
98,3.266667,0.15947304666042328,1.616605281829834,-0.7299790382385254,0.09608155488967896,-0.6428637504577637,-0.46336495876312256,0.04910000041127205,0.17246882617473602,1.6102032661437988,-0.7380207777023315,0.11697946488857269,-0.6347348093986511,-0.48054730892181396,0.04910000041127205
99,3.300000,0.17246882617473602,1.6102032661437988,-0.7380207777023315,0.11697946488857269,-0.6347348093986511,-0.48054730892181396,0.04910000041127205,0.18970349431037903,1.5967888832092285,-0.7513304948806763,0.1444014310836792,-0.6206400990486145,-0.5019685626029968,0.04899999871850014
100,3.333333,0.18970349431037903,1.5967888832092285,-0.7513304948806763,0.1444014310836792,-0.6206400990486145,-0.5019685626029968,0.04899999871850014,0.20993854105472565,1.5840373039245605,-0.7667684555053711,0.18068495392799377,-0.5990443825721741,-0.530175507068634,0.04899999871850014
101,3.366667,0.20993854105472565,1.5840373039245605,-0.7667684555053711,0.18068495392799377,-0.5990443825721741,-0.530175507068634,0.04899999871850014,0.23280762135982513,1.571198582649231,-0.7886083722114563,0.224451944231987,-0.5708723664283752,-0.56494140625,0.04899999871850014
